State_UT,Year,PhD_Male,PhD_Female,PhD_Total,MPhil_Male,MPhil_Female,MPhil_Total,PG_Male,PG_Female,PG_Total,UG_Male,UG_Female,UG_Total,PG_Diploma_Male,PG_Diploma_Female,PG_Diploma_Total,Diploma_Male,Diploma_Female,Diploma_Total,Certificate_Male,Certificate_Female,Certificate_Total,Integrated_Male,Integrated_Female,Integrated_Total,Grand_Total_Male,Grand_Total_Female,Grand_Total
Ladakh,2021-22,15.0,3.0,18.0,,,,155.0,318.0,473.0,1187.0,2103.0,3290.0,,,,195.0,314.0,509.0,19.0,131.0,150.0,,,,1571.0,2869.0,4440.0
Ladakh,2020-21,6.0,2.0,8.0,0.0,0.0,0.0,70.0,23.0,93.0,740.0,1738.0,2478.0,0.0,0.0,0.0,245.0,185.0,430.0,0.0,0.0,0.0,47.0,91.0,138.0,1108.0,2039.0,3147.0
Ladakh,2019-20,6.0,2.0,8.0,0.0,0.0,0.0,26.0,28.0,54.0,798.0,1746.0,2544.0,0.0,0.0,0.0,112.0,24.0,136.0,0.0,0.0,0.0,57.0,98.0,155.0,999.0,1898.0,2897.0
Lakshadweep,2023-24,,,,,,,,,,122.0,371.0,493.0,,,,77.0,22.0,99.0,,,,,,,199.0,393.0,592.0
Lakshadweep,2022-23,,,,,,,,,,121.0,299.0,420.0,,,,71.0,22.0,93.0,,,,,,,192.0,321.0,513.0
Lakshadweep,2021-22,,,,,,,,,,14.0,74.0,88.0,,,,,,,,,,,,,14.0,74.0,88.0
Lakshadweep,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,133.0,401.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,427.0,560.0
Lakshadweep,2019-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,133.0,401.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,427.0,560.0
Madhya Pradesh,2023-24,6275.0,5151.0,11426.0,2.0,24.0,26.0,228926.77014325705,271352.7978990711,500279.5680423282,1034683.4521015844,930663.5262378942,1965346.9783394786,20201.0,22224.0,42425.0,126828.0,77963.0,204791.0,2840.0,1647.0,4487.0,24769.0,20877.0,45646.0,1444525.2222448415,1329902.3241369654,2774427.546381807
Madhya Pradesh,2022-23,4364.0,3568.0,7932.0,1.0,15.0,16.0,216393.0954548672,253968.0625789669,470361.1580338341,1039897.473256092,918469.2321012723,1958366.705357364,25182.0,25586.0,50768.0,127069.0,76659.0,203728.0,2917.0,1603.0,4520.0,21628.0,17929.0,39557.0,1437451.568710959,1297797.294680239,2735248.863391198
Madhya Pradesh,2021-22,4283.0,3571.0,7854.0,,16.0,16.0,201345.0,239046.0,440391.0,1143205.0,953119.0,2096324.0,21509.0,20506.0,42015.0,114323.0,61488.0,175811.0,1563.0,858.0,2421.0,19680.0,15653.0,35333.0,1505908.0,1294257.0,2800165.0
Madhya Pradesh,2020-21,3676.0,2477.0,6153.0,91.0,58.0,149.0,159236.0,184377.0,343613.0,1067537.0,947070.0,2014607.0,21531.0,19739.0,41270.0,103265.0,56449.0,159714.0,2298.0,1272.0,3570.0,16402.0,13083.0,29485.0,1374036.0,1224525.0,2598561.0
Madhya Pradesh,2019-20,3006.0,2441.0,5447.0,427.0,449.0,876.0,125638.0,159465.0,285103.0,908857.0,802319.0,1711176.0,18338.0,20012.0,38350.0,75946.0,43555.0,119501.0,1866.0,1011.0,2877.0,10498.0,8326.0,18824.0,1144576.0,1037578.0,2182154.0
Maharashtra,2023-24,17597.0,15683.0,33280.0,18.0,18.0,36.0,303012.0154323463,316596.82970233896,619608.8451346853,1882657.4929465794,1621388.6444922888,3504046.137438868,11382.0,8508.0,19890.0,232782.0,195465.0,428247.0,12571.0,9955.0,22526.0,13038.0,12897.0,25935.0,2473057.508378926,2180511.4741946277,4653568.982573554
Maharashtra,2022-23,13171.0,11362.0,24533.0,33.0,28.0,61.0,323993.3537326133,342042.6237430933,666035.9774757066,2044038.101926012,1644917.445032604,3688955.546958616,16976.0,12170.0,29146.0,235878.0,181098.0,416976.0,4313.0,4492.0,8805.0,13138.0,11479.0,24617.0,2651540.455658625,2207589.068775698,4859129.524434323
Maharashtra,2021-22,10115.0,7717.0,17832.0,121.0,69.0,190.0,283304.0,303894.0,587198.0,1968964.0,1529764.0,3498728.0,25594.0,21182.0,46776.0,236517.0,157882.0,394399.0,7580.0,4905.0,12485.0,10636.0,9599.0,20235.0,2542831.0,2035012.0,4577843.0
Maharashtra,2020-21,9358.0,6393.0,15751.0,385.0,349.0,734.0,244931.0,319628.0,564559.0,1955828.0,1538148.0,3493976.0,14155.0,10540.0,24695.0,236423.0,157788.0,394211.0,22503.0,13879.0,36382.0,8314.0,7527.0,15841.0,2491897.0,2054252.0,4546149.0
